name,ra,dec,lii,bii,cluster_radius,pm_ra,pm_dec,rad_vel,rad_vel_error,num_cluster_stars,distance
Ruprecht 117,245.857,-51.88,332.482,-1.609,  0.080,  -2.92,  -7.83,,,     25,     937
Pismis 22,243.555,-51.865,331.477,-0.603,  0.130, -10.73,  -3.63,,,     50,    2023
ESO 236-07,320.49,-51.865,345.733,-43.965,  0.235,   2.30,   0.79,,,     50,    2933
DBSB 157,243.084,-51.771,331.33,-0.335,  0.120,  -4.71,  -3.30,  -67.33,,     44,    3917
MWSC 4429,278.895,-51.745,343.621,-18.661,  0.290,  -0.46,  -5.08,,,    315,    2051
NGC 3228,155.355,-51.73,280.705,4.548,  0.180, -13.50,   0.03,  -22.39,    0.15,     53,     573
ESO 229-02,269.918,-51.695,341.35,-13.549,  0.140,   0.67,  -9.28,,,     91,    2362
Ruprecht 76,141.067,-51.66,273.756,-0.927,  0.120,  -4.03,   5.27,   18.00,,    136,    1332
vdBergh-Hagen 88,151.567,-51.595,278.687,3.33,  0.120,  -9.15,   8.65,,,    134,    5823
FSR 1740,267.322,-51.545,340.716,-12.053,  0.170,  -0.85,  -4.74,,,    144,    3066
DBSB 158,242.798,-51.525,331.368,-0.034,  0.115,  -9.83,   2.40,,,    135,    2434
Ruprecht 119,247.05,-51.51,333.263,-1.881,  0.130,  -2.11,  -0.56,  -11.21,    1.34,    107,    1105
ESO 231-30,289.26,-51.48,345.89,-24.743,  0.165,   2.47,  -5.30,,,     65,    3276
DBSB 144,243.041,-51.475,331.513,-0.101,  0.060,  -5.98,  -0.94,,,     61,    7362
FSR 1604,185.468,-51.47,298.247,11.133,  0.165,  -9.66,   0.34,,,    137,    3414
Ruprecht 176,243.66,-51.333,331.891,-0.263,  0.085,  -4.30,  -3.01,,,     30,    2686
vdBergh-Hagen 67,141.683,-51.273,273.761,-0.382,  0.135,  -7.31,   5.72,,,    226,    6501
MWSC 5670,105.855,-51.205,261.487,-19.041,  0.125,  -3.12,   1.00,,,     52,    1682
FSR 1489,143.316,-51.195,274.452,0.376,  0.115,  -5.25,   7.83,,,    104,    1211
ESO 226-06,246.067,-51.155,333.09,-1.193,  0.080,  -0.37,  -5.13,,,     73,    1220
NGC 2866,140.529,-51.1,273.123,-0.764,  0.100,  -8.69,   6.07,,,     92,    2600
FSR 1447,122.888,-51.02,266.134,-9.365,  0.090,  -3.00,   2.85,,,     39,    2549
ASCC 81,236.692,-50.995,328.808,2.85,  0.160,  -3.60,  -4.55,,,    270,     850
Collinder 307,248.833,-50.99,334.406,-2.341,  0.115,  -3.41,  -0.04,,,    218,    2065
FSR 1446,122.715,-50.985,266.046,-9.439,  0.100,  -3.64,   3.43,,,     49,    2434
Mamajek 4,276.533,-50.955,343.829,-16.999,  0.550,   3.90, -19.20,  -43.40,    1.60,    124,     386
Collinder 213,148.68,-50.925,276.841,2.77,  0.160,  -5.20,   4.55,,,    193,    1464
Ruprecht 73,135.291,-50.917,270.733,-3.041,  0.075,  -4.16,   1.07,,,     43,    1621
DBSB 100,245.109,-50.907,332.84,-0.591,  0.060,  -4.87,  -2.74,,,     44,    2240
DBSB 161,244.27,-50.792,332.543,-0.138,  0.070,  -6.57,  -3.10,  -49.57,,     72,    6353
SAI 109,145.905,-50.783,275.397,1.766,  0.090,  -6.50,   7.12,,,     50,    5246
Lynga 12,251.512,-50.74,335.714,-3.443,  0.150,  -4.85,  -2.24,,,    235,    1872
DBSB 159,241.597,-50.725,331.353,1.065,  0.065,  -7.31,  -1.61,  -81.02,,    111,    3358
Ruprecht 87,153.87,-50.71,279.361,4.884,  0.080,  -8.20,   6.85,,,     32,    5254
DBSB 162,245.115,-50.695,332.992,-0.443,  0.045,   0.12,  -6.13,,,     43,    5523
FSR 1484,142.446,-50.682,273.702,0.377,  0.100,  -3.86,   9.24,,,    130,    1847
FSR 1673,207.532,-50.667,312.349,11.128,  0.120, -11.38,  -3.39,,,     38,    2154
FSR 1714,237.36,-50.603,329.383,2.896,  0.170,  -4.11,  -2.79,,,    369,    1608
ASCC 44,120.48,-50.58,264.952,-10.438,  0.240,  -6.01,   7.40,   17.80,    2.80,    102,     553
Hogg 1,145.137,-50.58,274.897,1.601,  0.095,  -6.97,   7.65,,,     58,    1594
DBSB 99,243.255,-50.39,332.354,0.598,  0.120,  -7.26,  -3.47,,,     88,    2867
NGC 2972,145.058,-50.325,274.69,1.759,  0.110,  -4.34,   6.06,   20.89,    0.26,     93,    1778
DBSB 163,244.68,-50.316,333.061,0.021,  0.080,  -6.35,  -3.96,,,     95,    1258
ESO 211-09,139.184,-50.283,271.943,-0.795,  0.075,  -3.71,   9.04,,,     53,    2153
FSR 1498,149.1,-50.27,276.645,3.45,  0.115,  -5.85,   7.91,,,     64,    4936
ESO 211-03,132.9,-50.245,269.235,-3.763,  0.155,  -2.38,   6.12,,,    160,    4269
Lynga 8,245.016,-50.217,333.284,-0.059,  0.075,  -0.87,  -9.24,,,     47,    1338
vdBergh-Hagen 73,142.965,-50.215,273.624,0.944,  0.105,  -2.75,   9.98,,,    120,    2269
FSR 1715,237.165,-50.215,329.528,3.277,  0.075,  -4.55,  -1.49,,,     75,    1423
DBSB 164,244.852,-50.15,333.256,0.062,  0.060,  -5.49,  -7.53,  -49.98,,     36,    2053
FSR 1725,247.605,-50.125,334.509,-1.18,  0.115,   0.38,  -4.38,,,    137,    1623
SAI 91,129.255,-50.04,267.627,-5.474,  0.115,  -4.03,   1.71,,,     55,    3330
Pismis 11,138.97,-50.01,271.652,-0.703,  0.077,   0.55,  14.77,  -16.30,    0.60,     38,    4767
DBSB 166,245.377,-50.01,333.594,-0.075,  0.050,  -3.06,  -3.10,,,     56,    5366
IC 4651,261.225,-49.935,340.094,-7.919,  0.240,  -0.85,  -2.20,  -31.00,    0.20,    325,     888
MWSC 4545,301.957,-49.86,349.131,-32.432,  0.225,   1.89,  -3.66,,,     87,    1070
DBSB 102,243.755,-49.85,332.958,0.769,  0.060,  -8.62,  -1.98,  -47.60,,     44,    4362
NGC 6167,248.67,-49.785,335.225,-1.45,  0.210,  -2.09,  -3.95,  -34.40,    1.50,    471,    1216
FSR 1676,210.075,-49.765,314.186,11.596,  0.145,  -8.53,  -1.51,,,    120,    4570
FSR 1727,247.455,-49.752,334.713,-0.854,  0.140,  -4.33,  -1.17,,,    106,    1201
FSR 1474,138.667,-49.745,271.325,-0.66,  0.100,  -6.65,   5.04,,,     44,    1079
DBSB 170,247.245,-49.603,334.728,-0.652,  0.075,  -4.63,  -0.22,,,     17,    5163
vdBergh-Hagen 85,150.465,-49.585,276.925,4.528,  0.120,  -3.86,   8.55,,,     62,    2795
DBSB 167,245.857,-49.545,334.142,0.033,  0.055,  -5.61,   2.95,,,     36,    4076
FSR 1719,238.44,-49.51,330.612,3.307,  0.110,  -9.15,  -1.02,,,    125,    1113
FSR 1732,253.778,-49.325,337.735,-3.663,  0.140,   0.92,  -2.86,,,    178,    3584
vdBergh-Hagen 63,140.163,-49.217,271.627,0.404,  0.105,  -8.69,   4.77,,,     66,    4131
NGC 2547,122.478,-49.205,264.435,-8.625,  0.300,  -8.37,   4.40,   14.78,    1.94,    174,     361
FSR 1695,218.409,-49.165,319.592,10.372,  0.115,  -4.05,  -0.68,,,     60,    1667
NGC 6134,246.952,-49.155,334.92,-0.205,  0.220,  -1.65,  -5.12,  -26.00,    0.20,    433,     892
Hogg 19,247.26,-49.097,335.101,-0.31,  0.120,  -3.52,  -4.01,,,    162,     898
Collinder 205,135.135,-48.99,269.215,-1.847,  0.140,  -3.52,   6.88,   20.00,    5.58,    131,    1458
Pismis 23,245.991,-48.895,334.666,0.428,  0.075,  -7.45,   1.19,,,     41,    2820
NGC 2670,131.393,-48.82,267.508,-3.628,  0.110, -11.95,   6.20,   17.20,    0.83,     80,    1294
NGC 6193,250.343,-48.755,336.721,-1.573,  0.230,  -0.85,  -5.00,  -39.97,    3.64,    205,    1158
Lynga 9,245.171,-48.517,334.551,1.078,  0.100,  -9.94,   3.34,,,    110,    1704
FSR 1454,132.78,-48.477,267.818,-2.7,  0.085,  -9.10,   5.11,,,     56,    2187
FSR 1609,186.968,-48.475,298.906,14.212,  0.115,  -9.90,   3.17,,,     52,    4467
ASCC 46,124.095,-48.47,264.39,-7.333,  0.190,  -5.53,   7.17,,,    129,     899
Ruprecht 120,248.79,-48.3,336.372,-0.504,  0.115,  -2.43,  -0.39,,,     75,    1476
Ruprecht 63,128.16,-48.295,265.79,-5.013,  0.120,  -2.10,  11.73,,,     69,    4829
NGC 3909,177.525,-48.21,292.494,13.415,  0.170,  -8.00,   3.92,,,    103,    1792
IC 2395,130.65,-48.133,266.662,-3.591,  0.230,  -5.26,   3.97,   13.25,    9.76,    159,     701
Harvard 13,255.963,-48.083,339.606,-4.033,  0.110,  -9.03,  -2.76,,,     84,    3612
FSR 1468,137.947,-48.07,269.785,0.15,  0.125,  -5.35,   5.35,,,     79,    1005
Pismis 15,143.688,-48.03,272.491,2.872,  0.150,  -6.83,   6.38,,,    155,    2558
DBSB 36,139.2,-47.945,270.274,0.842,  0.130,  -5.36,   6.99,   21.05,,     18,     748
FSR 1452,133.327,-47.92,267.622,-2.063,  0.115,  -2.74,  10.15,,,     72,    2070
FSR 1400,112.343,-47.854,259.953,-13.868,  0.115,  -5.62,  10.40,,,     48,    2290
FSR 1460,136.912,-47.825,269.134,-0.191,  0.170, -10.53,   3.57,,,    253,    1285
DBSB 34,135.795,-47.817,268.625,-0.742,  0.065, -13.87,   3.94,,,     16,    1736
FSR 1419,124.748,-47.8,264.069,-6.6,  0.115,  -4.13,   3.90,,,     30,    7746
Hogg 21,251.4,-47.747,337.944,-1.444,  0.120,  -3.25,  -3.02,,,     80,    1750
Muzzio 1,134.49,-47.695,267.955,-1.322,  0.180,  -4.50,   5.31,  -13.00,,    111,    1394
ESO 260-06,131.572,-47.685,266.694,-2.828,  0.115,  -7.97,   9.59,,,     53,    1211
Melotte 66,111.55,-47.668,259.547,-14.272,  0.205,  -4.37,   6.78,   23.50,    3.46,    195,    4487
Hogg 20,251.137,-47.655,337.899,-1.25,  0.140,  -3.20,  -5.33,,,     70,    1777
Ruprecht 69,131.119,-47.57,266.413,-2.996,  0.110,  -5.87,  10.80,,,     65,    2010
DBSB 35,138.791,-47.465,269.737,0.978,  0.120,  -6.98,   9.98,,,     35,    1678
NGC 6200,251.04,-47.465,337.999,-1.076,  0.240,   0.94,  -3.80,,,    186,    2214
FSR 1443,129.863,-47.357,265.723,-3.536,  0.165,  -4.12,   8.37,,,    193,    1864
FSR 1471,141.045,-47.34,270.723,2.15,  0.115,  -7.36,  10.11,,,    112,    1966
Patchick 94,247.399,-47.3,336.466,0.861,  0.065,  -8.15,  -2.57,,,     60,    3178
DBSB 169,249.713,-47.293,337.535,-0.287,  0.070,  -6.21,  -0.16,,,     16,    6667
Ruprecht 60,126.108,-47.2,264.091,-5.502,  0.120,  -4.60,   5.39,,,     43,    5739
NGC 2660,130.665,-47.197,265.929,-3.007,  0.115,  -6.85,   4.60,   21.34,    0.46,     65,    2817
Alessi 9,266.295,-47.185,344.243,-9.326,  0.890,  10.75,  -9.50,  -11.60,    1.20,    359,     218
FSR 1739,255.817,-47.152,340.288,-3.39,  0.100,  -1.32,  -3.33,,,    111,    1054
FSR 1441,129.87,-47.1,265.521,-3.376,  0.125,  -5.05,   7.73,,,     93,    1659
Hogg 22,251.655,-47.09,338.556,-1.148,  0.075,  -2.40,  -2.20,  -65.20,   12.91,     52,    2799
DBSB 171,249.532,-47.078,337.613,-0.052,  0.075,  -8.79,  -0.21,  -53.89,,     14,    6764
ESO 261-03,137.827,-47.06,268.993,0.783,  0.145,  -3.50,   7.01,,,    191,    1063
ESO 260-07,132,-47.03,266.364,-2.192,  0.125,  -5.23,   5.72,,,     91,    1876
Ruprecht 160,149.085,-47.03,274.628,5.991,  0.110,  -6.03,   4.99,,,     72,    2187
NGC 6204,251.535,-47.02,338.556,-1.04,  0.145,  -2.80,  -1.41,  -34.91,    8.09,    144,    1085
FSR 1491,149.977,-46.985,275.083,6.401,  0.130, -13.15,   2.62,,,     62,    2234
Ruprecht 71,132.338,-46.878,266.391,-1.917,  0.155,  -3.17,   6.17,,,    192,    1300
NGC 2932,143.867,-46.81,271.757,3.855,  0.140,  -2.71,   7.11,,,     95,    2919
ESO 258-01,116.407,-46.71,260.179,-10.891,  0.105,  -2.61,   3.29,,,     24,    1031
Alessi 3,109.05,-46.617,257.837,-15.395,  0.440, -11.09,  12.72,   20.00,    7.40,     78,     311
Teutsch 103,142.155,-46.6,270.753,3.208,  0.090,  -8.48,   4.69,,,     80,    2663
FSR 1613,187.972,-46.477,299.428,16.262,  0.170, -11.73,   0.51,,,     98,    1965
MWSC 4498,293.002,-46.435,351.941,-26.003,  0.155,   1.52,  -6.69,,,     72,    1537
FSR 1450,134.602,-46.303,266.951,-0.355,  0.115,  -8.43,  12.35,,,    131,    1379
Lynga 11,249.532,-46.295,338.195,0.471,  0.085,  -2.49,  -0.29,,,     32,    4101
SAI 94,131.172,-46.285,265.426,-2.171,  0.090,  -4.38,   8.06,   30.90,    1.78,     47,    3886
MWSC 5705,286.722,-46.272,350.89,-21.774,  0.120,   1.98,  -6.90,,,     54,    1861
Pismis 8,130.415,-46.267,265.089,-2.572,  0.115,  -4.97,   9.43,,,    122,    1363
Pismis 6,129.765,-46.235,264.789,-2.908,  0.180,  -6.35,   7.16,   16.76,    4.00,    276,    1668
Ruprecht 121,250.447,-46.15,338.724,0.094,  0.240,  -5.48,  -3.55,  -16.40,    0.20,    234,    1239
Waterloo 6,130.095,-46.133,264.847,-2.664,  0.070,  -6.93,   8.02,,,     16,    2256
ESO 260-17,136.188,-46.035,267.476,0.646,  0.115,  -5.68,   6.00,,,     80,    1808
FSR 1429,129.41,-46.017,264.466,-2.972,  0.090,  -3.56,   9.00,,,     37,    3371
FSR 1723,238.778,-46.01,333.033,5.852,  0.155,  -5.43,  -3.77,,,    182,    1513
Bochum 7,131.19,-45.98,265.195,-1.971,  0.190,  -3.47,   4.33,   49.00,    2.63,     39,    6059
FSR 1573,176.018,-45.925,290.868,15.363,  0.170,  -9.75,   1.73,,,     74,    2020
ESO 245-09,28.43,-45.92,273.707,-67.514,  0.370,   4.10,   2.10,,,     51,    1380
DBSB 108,257.827,-45.9,342.122,-3.749,  0.060,  -9.58,  -0.90,,,     21,    1620
vdBergh-Hagen 197,251.625,-45.85,339.486,-0.328,  0.085,  -5.53,  -1.88,,,     34,    2069
FSR 1464,140.445,-45.76,269.317,2.983,  0.115, -11.38,   1.49,,,     89,    2220
FSR 1574,176.175,-45.66,290.904,15.647,  0.180,  -6.48,  -0.53,,,     93,    1389
NGC 6178,248.947,-45.625,338.419,1.222,  0.190,   0.38,  -3.60,    3.54,    2.15,    143,    1011
FSR 1705,226.066,-45.55,325.955,11.301,  0.070,  -2.55,  -7.91,,,     32,    1582
ASCC 85,251.955,-45.49,339.91,-0.271,  0.235,  -1.31,  -3.93,    7.09,,    227,     806
FSR 1434,131.37,-45.402,264.82,-1.514,  0.170,  -7.33,   9.46,,,    298,    1367
Ruprecht 156,124.89,-45.35,262.08,-5.151,  0.100,  -7.08,   5.07,,,     52,    2720
DBSB 174,252.045,-45.35,340.058,-0.229,  0.050,  -4.29,  -3.77,  -57.88,,     26,    1710
ESO 265-01,165.232,-45.34,283.365,13.292,  0.150,  -4.59,   0.06,,,     41,    3162
DBSB 106,253.59,-45.298,340.79,-1.033,  0.062,  -4.79,  -3.17,  -31.07,,     50,    3490
FSR 1757,274.26,-45.25,348.6,-13.306,  0.100,  -0.29,  -1.58,,,     57,    1397
ESO 252-14,78.99,-45.24,250.873,-35.265,  0.120,   5.68,   3.91,,,     16,    2180
Lynga 14,253.748,-45.24,340.905,-1.082,  0.095,  -1.80,  -1.48,,,    106,    1327
Moitinho 1,124.821,-45.208,261.935,-5.112,  0.085,  -4.03,   5.48,,,     23,    1146
NGC 3446,163.072,-45.125,281.865,12.817,  0.205,  -9.02,   2.78,,,    138,    2001
Pismis 12,140,-45.11,268.635,3.221,  0.115,  -8.01,   4.38,,,    103,    2221
NGC 2659,130.643,-44.985,264.175,-1.658,  0.120,  -6.00,   5.30,,,    159,    1713
MWSC 4178,216.907,-44.945,320.277,14.663,  0.180,  -3.98,  -3.61,,,     94,    3515
NGC 6249,254.4,-44.8,341.537,-1.167,  0.190,  -0.80,  -4.80,  -37.63,    2.77,    285,    1113
NGC 6222,252.615,-44.73,340.792,-0.14,  0.100,  -1.52,  -1.58,,,    226,    3308
FSR 1415,130.095,-44.725,263.731,-1.805,  0.120,  -6.16,   4.93,,,     48,    3473
NGC 6216,252.338,-44.72,340.673,0.018,  0.140,  -3.27,  -2.57,,,    296,    3355
NGC 2220,95.22,-44.7,252.538,-23.881,  0.125,  -1.28,   9.68,,,     27,    1393
NGC 6259,255.225,-44.69,341.986,-1.559,  0.170,  -1.87,  -5.27,  -33.70,    0.19,    254,    1855
FSR 1377,109.575,-44.67,256.147,-14.274,  0.115,  -5.82,   4.57,,,     32,    4640
ESO 261-07,141.15,-44.67,268.903,4.108,  0.110, -11.29,   5.56,,,     70,    3360
vdBergh-Hagen 34,127.8,-44.505,262.574,-2.98,  0.150,  -5.40,   4.64,   24.00,    5.00,    150,     950
Ruprecht 154,120.435,-44.423,259.584,-7.31,  0.085,  -2.39,   7.15,,,     37,    3160
vdBergh-Hagen 54,132.422,-44.367,264.483,-0.284,  0.115,  -5.94,   9.90,,,    138,    1239
FSR 1543,168.713,-44.33,285.279,15.206,  0.165, -10.28,   0.70,,,     76,    2662
FSR 1430,132.968,-44.253,264.643,0.09,  0.110, -11.48,   6.06,,,     84,    6737
vdBergh-Hagen 200,252.483,-44.205,341.135,0.269,  0.115,  -5.43,  -1.32,,,    116,    1633
ESO 281-24,279.998,-44.19,351.293,-16.617,  0.110,  -3.02,  -4.43,,,     44,    3830
FSR 1432,133.233,-44.185,264.712,0.28,  0.100,  -4.94,   6.18,,,     67,    1904
FSR 1412,129.32,-44.131,262.923,-1.884,  0.115,  -3.83,   7.21,   24.10,,     76,    2644
Ruprecht 81,146.299,-44.1,271.239,7.015,  0.115,  -6.05,   2.24,,,     57,    3009
Ruprecht 65,129.817,-44.07,263.091,-1.563,  0.155,  -7.10,   3.50,,,    106,     786
FSR 1699,219.915,-44.07,322.671,14.615,  0.155,  -4.54,  -2.65,,,    112,    1953
Ruprecht 80,145.515,-44.02,270.758,6.706,  0.110, -16.43,   6.42,   45.75,    0.82,     54,    2183
NGC 6169,248.528,-44.016,339.404,2.529,  0.110,   0.69,  -2.47,    6.30,,     60,    1007
FSR 1418,131.915,-43.999,263.968,-0.334,  0.140,  -6.67,   6.40,   20.00,,    154,    1249
FSR 1442,135.701,-43.96,265.698,1.771,  0.085, -11.01,   9.60,,,     55,    1186
FSR 1481,149.835,-43.908,273.104,8.773,  0.155, -12.95,   3.85,,,     97,    4104
DBSB 27,131.662,-43.884,263.764,-0.403,  0.065,  -4.51,   3.00,   16.61,,     27,    2479
FSR 1411,128.595,-43.86,262.393,-2.138,  0.200,  -3.67,   2.37,,,    110,     912
FSR 1424,132.66,-43.832,264.178,0.188,  0.100, -13.10,   6.29,,,     73,    1829
FSR 1435,134.273,-43.765,264.874,1.123,  0.230,  -9.37,  12.58,,,     61,    1296
ESO 277-04,250.1,-43.74,340.369,1.873,  0.075,  -6.06,  -0.60,,,     43,    1790
FSR 1634,193.613,-43.68,303.509,19.188,  0.170,  -6.67,   2.65,,,     97,    6310
Pismis 10,135.659,-43.636,265.435,1.963,  0.085, -11.89,   8.01,,,     46,    8835
vdBergh-Hagen 37,128.947,-43.618,262.351,-1.789,  0.120,  -2.14,   7.40,,,     55,    5202
FSR 1635,193.737,-43.503,303.607,19.364,  0.165,  -5.62,   0.09,,,     81,    6271
Lynga 13,252.232,-43.428,341.615,0.906,  0.075,  -6.77,  -1.59,,,     51,    3412
DBSB 175,253.148,-43.396,342.064,0.415,  0.060,  -2.69,  -2.03,  -45.87,,     36,    3798
Ruprecht 67,130.44,-43.395,262.832,-0.794,  0.170, -10.05,   3.20,  -15.40,    0.80,    227,    1342
NGC 6192,250.088,-43.36,340.648,2.131,  0.235,   1.15,  -0.60,   -7.72,    0.38,    280,    1619
vdBergh-Hagen 56,134.28,-43.285,264.513,1.439,  0.125,  -4.90,   6.97,  -18.00,    0.01,     48,     737
NGC 3680,171.405,-43.235,286.759,16.925,  0.190,  -5.21,   0.77,    2.40,    2.65,    100,     946
FSR 1672,204.502,-43.18,311.88,18.881,  0.155,  -9.79,   0.42,,,     76,    3020
FSR 1511,159.99,-43.124,278.889,13.526,  0.190,  -5.91,   1.89,,,     65,    2473
MWSC 5604,47.453,-42.88,251.4,-57.903,  0.200,   0.58,   3.72,,,     17,    1437
FSR 1684,209.377,-42.87,315.615,18.369,  0.160,  -7.22,  -2.16,,,     57,    2733
ESO 311-14,117.35,-42.685,256.93,-8.363,  0.140,  -1.12,   5.58,,,     70,    1278
ESO 282-26,288.435,-42.63,355.027,-21.866,  0.195,   1.17,   0.43,,,    136,    1509
FSR 1421,134.523,-42.6,264.109,2.02,  0.085,  -8.76,   9.08,,,     17,    1268
DBSB 176,254.857,-42.575,343.487,-0.046,  0.085,  -4.03,  -4.27,,,     18,    7693
Trumpler 10,131.873,-42.4,262.704,0.647,  0.390, -12.00,   6.90,   15.00,   15.00,    291,     417
FSR 1744,252.885,-42.393,342.716,1.201,  0.120,  -3.05,  -3.15,,,    135,    1844
ESO 309-03,102.663,-42.383,251.961,-18.037,  0.110,   0.07,  -0.35,,,     26,    2057
FSR 1401,129.262,-42.365,261.489,-0.851,  0.115,  -1.51,   3.55,,,    122,    4178
FSR 1406,129.57,-42.35,261.615,-0.661,  0.117,  -3.71,   8.10,,,    168,    3208
MWSC 5744,305.085,-42.245,358.45,-33.764,  0.115,   6.26,  -9.45,,,     33,    1836
FSR 1475,148.643,-42.235,271.359,9.542,  0.200,  -6.11,   0.44,,,    136,    2662
ESO 334-02,264.237,-42.235,347.753,-5.513,  0.110,  -7.00,  -1.60,,,     65,    3210
MWSC 5665,92.61,-42.21,249.356,-25.065,  0.140,  -0.85,   1.19,,,     27,     934
FSR 1734,244.772,-42.129,338.857,5.813,  0.110,  -3.20,  -4.55,,,    133,    3481
FSR 1773,283.308,-42.125,354.226,-18.121,  0.135,   0.76,  -0.83,,,     66,    1312
Teutsch 84,256.08,-42.07,344.44,-0.45,  0.160,  -0.67,  -5.93,,,    269,    3411
Teutsch 64,128.124,-41.995,260.688,-1.305,  0.070,  -8.82,   5.74,,,     17,    3112
ESO 324-15,200.865,-41.88,309.292,20.596,  0.100,  -7.68,   1.71,,,     34,    2818
SAI 88,123.242,-41.875,258.514,-4.219,  0.075,  -3.95,   4.95,,,     51,    5838
NGC 2671,131.553,-41.867,262.14,0.796,  0.185,  -4.87,   2.47,,,    328,    1309
MWSC 5215,206.512,-41.843,313.709,19.883,  0.175,  -5.67,  -0.57,,,     79,    3118
ESO 313-03,127.908,-41.787,260.425,-1.312,  0.105,  -2.22,   4.67,,,     47,    4269
DBSB 178,255.555,-41.785,344.428,0.033,  0.170,  -1.29,  -0.96,  -71.90,,    135,    7506
SAI 90,127.023,-41.77,260.024,-1.836,  0.105,  -3.79,   6.32,,,     76,    3112
FSR 1683,208.659,-41.768,315.378,19.571,  0.175,  -8.80,  -1.86,,,     47,    3848
ASCC 50,132.593,-41.72,262.514,1.49,  0.250,  -6.55,   4.91,   17.13,    8.67,    349,     846
Pismis 2,124.491,-41.67,258.861,-3.33,  0.225,  -4.63,   6.78,   49.00,    2.82,    277,    2754
ESO 311-21,120.424,-41.583,257.138,-5.839,  0.125,  -8.69,   6.28,,,    120,    5118
ESO 312-03,126.12,-41.305,259.253,-2.118,  0.115,  -5.56,   5.10,,,     48,    2170
ESO 312-04,126.693,-41.238,259.447,-1.728,  0.075,  -6.31,   7.61,,,     41,    1963
FSR 1383,121.04,-41.218,257.069,-5.255,  0.125,  -8.30,   6.01,,,     72,    2434
FSR 1416,136.154,-41.126,263.801,3.905,  0.105,  -5.01,   3.41,,,     89,    1649
vdBergh-Hagen 211,255.546,-41.11,344.958,0.451,  0.105,  -1.48,  -2.29,,,     77,    1820
ESO 329-02,231.883,-41.05,332.075,12.825,  0.095,  -6.52,  -1.75,,,     45,    1546
ESO 335-05,274.05,-41.05,352.404,-11.342,  0.090,  -3.02,  -6.96,,,     69,    7562
FSR 1379,120.067,-40.898,256.41,-5.712,  0.130,  -3.74,   6.64,,,    105,    1951
ESO 332-22,256.853,-40.817,345.789,-0.156,  0.180,  -3.72,  -2.69,,,    177,    1422
vdBergh-Hagen 217,259.08,-40.81,346.789,-1.513,  0.100,  -0.13,  -3.66,,,     89,    1723
Ruprecht 124,262.005,-40.73,348.111,-3.293,  0.120,  -1.77,  -1.88,,,     67,    2186
FSR 1378,120.329,-40.675,256.322,-5.427,  0.190,  -8.02,   9.11,,,    187,    1562
NGC 6124,246.315,-40.65,340.733,6.028,  0.455,  -0.50,  -2.65,  -21.07,    0.19,   1631,     559
ESO 332-13,254.166,-40.575,344.733,1.603,  0.095,  -2.52,  -2.20,   -5.00,    6.40,     64,    2910
NGC 2849,139.846,-40.517,265.27,6.362,  0.085,  -8.42,   9.32,,,     32,    4800
MWSC 4146,165.188,-40.49,281.176,17.659,  0.160,  -9.36,   4.08,,,     61,    1419
Ruprecht 56,123.165,-40.485,257.318,-3.505,  0.305,  -9.40,   4.80,,,    123,     429
Ruprecht 125,262.418,-40.45,348.518,-3.399,  0.160,  -2.77,  -1.94,,,     94,    1188
FSR 1397,129.255,-40.385,259.908,0.34,  0.115,  -3.18,   2.83,,,     92,    2068
ESO 313-12,130.964,-40.225,260.578,1.469,  0.120,  -3.65,   4.72,,,    117,    1401
FSR 1737,244.595,-40.22,340.115,7.263,  0.090,   3.62,   0.98,,,     79,    2136
Ruprecht 64,129.27,-40.185,259.755,0.47,  0.450,  -6.15,   5.95,   26.90,    5.90,    762,     619
DBSB 115,254.812,-40.12,345.396,1.5,  0.075,  -5.60,  -3.21,  -18.72,,     29,    2628
Trumpler 29,265.373,-40.12,350.01,-5.125,  0.145,   0.60,  -3.84,,,    110,    1096
FSR 1390,127.092,-40.083,258.684,-0.809,  0.090,  -2.93,   4.00,,,     71,    2397
FSR 1380,122.77,-39.965,256.716,-3.473,  0.110,  -5.70,   5.91,,,     76,    3112
MWSC 5704,286.087,-39.93,357.163,-19.336,  0.110,  -0.44,  -2.18,,,     53,    1604
FSR 1387,126.129,-39.905,258.111,-1.307,  0.130,  -9.84,   4.21,,,    152,    1258
FSR 1758,262.905,-39.84,349.234,-3.377,  0.120,  -4.98,   4.71,,,    106,    7086
NGC 6268,255.532,-39.715,346.055,1.313,  0.185,   0.90,  -0.63,  -15.11,    0.08,    237,    1105
Teutsch 85,258.3,-39.66,347.376,-0.358,  0.085,   0.77,   3.33,,,     44,    1569
Saurer 2,126.36,-39.64,257.997,-1.009,  0.080,  -6.62,   8.13,,,     50,    6020
Pismis 5,129.416,-39.58,259.341,0.925,  0.135,  -6.96,   4.25,,,     53,     702
vdBergh-Hagen 55,134.048,-39.51,261.523,3.754,  0.140,  -5.28,   6.55,,,     44,    3642
NGC 6318,259.046,-39.417,347.909,-0.683,  0.110,   2.52,   0.42,,,     66,    1841
FSR 1399,131.04,-39.365,259.939,2.048,  0.125,  -4.38,   8.07,,,     91,    3308
FSR 1736,241.98,-39.35,339.262,9.282,  0.105,  -3.14,  -2.63,,,     66,    7468
MWSC 4170,204.202,-39.185,312.454,22.846,  0.220,  -3.94,  -0.52,,,    132,    1548
DBSB 179,257.85,-39.179,347.56,0.206,  0.115,  -3.40,  -3.78,,,     28,    7908
