name,ra,dec,lii,bii,cluster_radius,pm_ra,pm_dec,rad_vel,rad_vel_error,num_cluster_stars,distance
FSR 1593,171.96,-68.735,295.441,-7.088,  0.140,  -6.95,   7.98,,,    120,    1825
MWSC 4483,289.283,-68.525,327.131,-27.437,  0.235,   0.48,  -5.79,,,    113,    1397
ESO 064-05,186.18,-68.485,300.475,-5.741,  0.160,  -8.52,   1.67,,,    110,    1239
NGC 1901,79.56,-68.44,279.027,-33.603,  0.335,   1.68,   9.54,   -2.08,    7.13,    134,     406
ASCC 78,226.403,-68.405,314.804,-8.683,  0.155,  -6.16,  -0.42,,,     88,    3241
Collinder 261,189.525,-68.367,301.697,-5.527,  0.235, -10.27,   3.32,  -30.00,    2.00,    421,    2683
FSR 1650,203.913,-68.113,307.05,-5.595,  0.155, -13.80,   1.69,,,    116,    4103
Ruprecht 163,166.222,-67.943,293.163,-7.115,  0.090, -12.26,   6.70,,,     60,    3019
FSR 1554,149.704,-67.739,287.671,-10.139,  0.110,  -8.09,   6.64,,,     64,    1513
FSR 1654,205.523,-67.7,307.724,-5.301,  0.095,  -8.65,  -2.81,,,     35,    4015
ASCC 71,185.19,-67.53,299.998,-4.833,  0.235,  -9.20,   0.82,  -17.90,    4.20,    228,    1209
Ruprecht 110,211.41,-67.475,309.966,-5.622,  0.185, -11.67,  -4.00,  -34.36,    1.51,    182,    1241
NGC 2348,105.765,-67.39,278.119,-23.803,  0.160,  -7.40,   9.98,,,     43,    1076
ASCC 73,189.09,-67.25,301.471,-4.421,  0.245, -10.63,  -1.20,  -15.80,    2.00,    125,     650
vdBergh-Hagen 140,193.32,-67.17,303.111,-4.299,  0.110, -10.30,  -1.54,,,     86,    5229
FSR 1597,176.145,-67.085,296.477,-5.055,  0.165, -10.14,   2.89,,,     70,    2879
Collinder 268,199.567,-67.075,305.547,-4.34,  0.115,  -1.20,   1.92,  -27.18,    0.30,     64,    1811
FSR 1623,189.033,-66.942,301.43,-4.115,  0.135,  -3.72,  -3.94,,,    113,    6915
MWSC 5694,269.34,-66.8,326.939,-19.703,  0.110,  -7.86,  -5.04,,,     32,    1570
ASCC 57,152.73,-66.7,287.99,-8.606,  0.215,  -6.56,   3.67,,,    257,    1483
FSR 1656,205.335,-66.637,307.86,-4.244,  0.105,  -8.41,  -1.63,,,     86,    5087
FSR 1514,119.632,-66.63,279.329,-18.463,  0.135,  -1.24,   8.55,,,     30,    2754
FSR 1617,187.132,-66.56,300.652,-3.79,  0.171,  -9.01,   1.01,,,    105,    1828
ASCC 76,208.058,-66.405,308.972,-4.249,  0.220,  -4.25,  -3.80,  -14.00,    9.00,    174,    1025
vdBergh-Hagen 164,221.91,-66.39,314.211,-6.097,  0.370,  -5.90,  -9.00,   13.50,    5.50,    110,     501
Collinder 269,200.963,-66.16,306.204,-3.494,  0.210,  -8.16,  -1.75,,,    129,    1870
Alessi 6,220.132,-66.12,313.673,-5.55,  0.390,  -8.20,  -5.90,    9.17,    1.16,    340,     613
Collinder 277,207.06,-66.075,308.654,-3.836,  0.130,  -9.18,  -5.01,,,     34,    2204
vdBergh-Hagen 144,198.817,-65.92,305.363,-3.161,  0.060, -13.19,   7.74,   40.00,    7.07,     31,    7241
NGC 1641,68.858,-65.74,277.196,-38.331,  0.260,   4.06,   2.70,,,     78,     985
DBSB 72,176.487,-65.555,296.22,-3.54,  0.077,  -6.28,   3.72,  -23.15,,     37,    4494
DBSB 88,214.905,-65.432,311.933,-4.113,  0.085,  -8.43,  -3.72,,,     20,    1366
Loden 1002,208.65,-65.335,309.463,-3.267,  0.140,  -4.50,  -3.84,,,     92,    1332
Loden 757,198,-65.3,305.08,-2.514,  0.160,  -8.40,  -2.49,,,     70,    1340
Ruprecht 84,147.285,-65.24,285.314,-8.81,  0.180, -10.29,  -0.81,,,    171,    1546
FSR 1605,181.912,-65.185,298.356,-2.703,  0.105,  -6.02,   2.40,,,     97,    4430
Melotte 101,160.567,-65.095,289.868,-5.553,  0.230,  -5.60,   3.00,    9.69,    5.00,    248,    1999
FSR 1584,167.303,-65.06,292.421,-4.296,  0.130,  -6.50,   3.09,,,     68,    2241
NGC 4815,194.505,-64.96,303.629,-2.097,  0.105, -11.04,   0.43,,,     69,    2990
Ruprecht 107,199.941,-64.95,305.926,-2.243,  0.075, -15.98,   0.30,  -45.40,    0.22,     25,    1454
Loden 995,208.575,-64.95,309.526,-2.886,  0.165,  -4.70,   0.05,   -6.06,    1.22,    116,    1481
FSR 1685,224.31,-64.945,315.752,-5.253,  0.085,  -3.64,  -0.62,,,     50,    1513
DBSB 73,177.54,-64.87,296.482,-2.768,  0.050,  -9.67,  -0.06,,,     26,    4532
ESO 099-06,232.451,-64.85,318.767,-6.966,  0.105,  -2.04,  -3.62,,,     57,    1274
FSR 1693,231.458,-64.82,318.433,-6.703,  0.140,  -8.28,  -1.31,,,     87,    3743
ESO 092-05,150.803,-64.795,286.208,-7.537,  0.085, -13.39,   4.57,,,     38,    5168
NGC 4463,187.485,-64.79,300.644,-2.014,  0.140,  -3.61,  -0.30,  -24.52,    6.37,    133,    1115
Loden 615,185.171,-64.775,299.661,-2.099,  0.245,  -8.69,  -2.48,,,    150,     826
FSR 1678,221.145,-64.74,314.634,-4.471,  0.140,  -6.88,   0.20,,,     85,    1791
NGC 5288,207.183,-64.695,309.008,-2.501,  0.120,  -9.39,  -1.46,,,    123,    5086
FSR 1541,146.716,-64.632,284.73,-8.501,  0.110,  -5.60,   1.09,,,     56,    3575
ESO 097-15,213.855,-64.63,311.777,-3.21,  0.120, -12.97,   1.25,,,     61,    3274
ESO 092-18,153.697,-64.59,287.1,-6.648,  0.075,  -6.21,   2.95,,,     35,    9548
Ruprecht 98,179.715,-64.588,297.327,-2.29,  0.280,  -5.43,  -9.02,   -7.60,    1.70,    131,     610
Loden 848,203.595,-64.55,307.526,-2.062,  0.225,  -7.40,   1.95,,,    162,    1797
FSR 1641,196.17,-64.545,304.355,-1.71,  0.110, -10.24,  -3.64,,,     48,    1934
FSR 1585,168.46,-64.477,292.659,-3.57,  0.125,  -7.15,   6.92,,,    122,    4465
ASCC 82,236.76,-64.412,320.523,-7.718,  0.210,  -2.34,  -5.16,,,    135,     800
IC 2602,160.44,-64.4,289.486,-4.968,  1.480, -16.95,   9.65,   21.87,    2.54,   3229,     151
ASCC 70,183.705,-64.4,298.988,-1.809,  0.280,  -6.00,   0.31,   -7.75,    2.25,    460,    2652
ASCC 56,152.077,-64.38,286.404,-6.878,  0.320,  -8.52,   0.90,,,    317,     797
Loden 894,204.921,-64.32,308.13,-1.936,  0.120,  -7.00,   2.18,,,     81,    1423
MWSC 4463,284.73,-64.265,331.554,-25.047,  0.210,   0.94,  -5.41,,,    125,    1406
Collinder 271,202.53,-64.2,307.126,-1.644,  0.110,  -7.73, -12.80,,,     35,    2588
Juchert 13,180.42,-64.1,297.53,-1.751,  0.100, -15.39,  -5.77,,,     51,    2795
vdBergh-Hagen 132,186.75,-64.067,300.264,-1.322,  0.180,  -8.07,   2.90,,,    236,    1859
Ruprecht 99,180.87,-63.86,297.679,-1.478,  0.210,  -7.74,  -2.07,,,    120,     719
vdBergh-Hagen 111,167.28,-63.83,291.937,-3.164,  0.180,  -9.28,   2.10,,,     78,    2634
NGC 6588,275.13,-63.81,330.841,-20.876,  0.140,   0.28,  -3.18,,,     68,    4757
