source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.66659E+16,167.0736054,-22.34741915,57.99722672,24.66618454,17.34125419,0.198730472,-44.64484309,0.115691794,,,7.43032512,0.117360992,15.832394,17.353336,14.61833,134.5836129,-0.639091737,4.4699988,-121.3212309,27.84529564,-51.17174324
7.03344E+16,164.3682395,-21.9000704,56.26761153,26.67894274,20.7720093,0.205305481,-46.29005812,0.14278581,,,7.431045596,0.136201127,16.77587,18.57547,15.484056,134.5705644,-0.351383214,6.015612659,-120.2411593,33.64399523,-50.19344588
6.40271E+16,167.9834083,-24.67012525,56.93623949,22.39796924,21.38546501,0.21180198,-46.88749785,0.157357196,,,7.431077137,0.115980629,16.688013,18.525993,15.383274,134.5699932,-0.316865083,6.531880844,-119.6075073,25.45976617,-56.16874212
6.52767E+16,166.2625862,-23.63732835,56.43515234,24.22011205,21.00033428,0.133020737,-47.31529111,0.087027366,,,7.431570318,0.156701013,10.400532,10.796894,9.86672,134.5610628,-0.413707273,6.740795903,-119.7452447,29.27379959,-53.95183637
7.00103E+16,165.6444874,-21.7024788,57.40138685,26.03773409,20.00314427,0.358427261,-45.50594764,0.23675143,,,7.431877159,0.212225289,17.756441,19.892513,16.399109,134.5555071,-0.386021808,5.382884064,-121.114099,30.99679416,-49.75699233
6.85958E+16,164.4466321,-23.63514095,55.06219689,25.32173767,21.34126409,0.14195654,-46.39922252,0.085710544,,,7.43189648,0.069596787,15.048042,16.355839,13.915742,134.5551573,-0.27967719,6.20159841,-118.7542209,33.05281719,-53.94475561
7.04723E+16,165.0232421,-21.17418744,57.31747894,26.81736819,19.3548686,0.904027716,-45.27983939,0.654180573,,,7.431948331,0.522897454,19.381393,21.477942,17.916412,134.5542185,-0.450491112,5.13482342,-121.2077914,32.42503435,-48.60170954
6.67411E+16,166.4403648,-23.16752861,56.91405265,24.45873874,18.07332396,0.313730765,-44.97230664,0.159619236,,,7.43265631,0.132565876,16.153196,17.804525,14.891578,134.5414019,-0.582887887,4.755499977,-120.243945,29.00061831,-52.93152808
6.98349E+16,165.5426947,-23.04904384,56.32570007,25.09934751,20.82728875,0.054006386,-46.30912412,0.037942594,7.026819509,4.966055568,7.433264378,0.029320688,13.571771,14.442313,12.667987,134.530396,-0.345283786,6.038791963,-119.8707768,30.90561364,-52.67131435
6.52151E+16,166.5169393,-23.88093007,56.44549549,23.88329399,21.12596507,0.364590863,-46.65166813,0.260252978,,,7.433292077,0.212093497,18.055698,19.143015,16.631977,134.5298946,-0.333481159,6.321490797,-119.6221595,28.68154097,-54.46283789
